MESSAGE,RESPONSE
nggk konek lampu indikator LAN nggak nyala,kabel lanNya kemungkinan rusak/putus akan kami segera cek di lokasi silahkan hubungi CS kami melalui menu pengaduan
ini internetnya nggak konek padahal lampu indikator nyala semua,ada kemungkinan anda belum melakukan pembayaran jika anda sudah melakukan pembayaran silahkan bisa hubungi CS kami melalui menu pengaduan
wifinya mati gegara pas tadi ada petir setelah itu listrik mati dan setelah nyala gak konek dan modem mati,"Akan segera kami cek dilokasi, silakan hubungi CS melalui menu pengaduan"
Untuk pembayaran wifinya saya tf yaa minta noreknya ada?,Iya bisa di transfer dengan no rekening\nMANDIRI : 1850004160823
wifinya nggk konek modem terkadang ada indikator warna merah, Baik nanti segera di cek ke lokasi kemungkinan kabel nya yang bermasalah. silakan hubungi CS melalui menu pengaduan
kabelnya wifi saya putus kemarin ada truk lewat kecantol jadi putus dan gak konek,Baik kami akan segera ke lokasi untuk penyambungan kabel silahkan hubungi CS melalui menu pengaduan
info pemasangan baru mas lokasi wonosobo,Baik silahkan persiapkan persyaratan yaitu KTP
wifinya enggak konek dan nama wifi menjadi Zte638,"itu karena mode,nya ke-reset. untuk mengetahui sandinya bisa di lihat di belakang modem"
internetnya kenapa ya akhir akhir ini gak kaya biasanya kurang stabil tolong bisa kerumah saya tidak tahu apa apa,"Baik akan segera kami jadwalkan untuk pengecekan, silahkan hubungi CS melalui menu pengaduan"
wifinya gak nyampai di lantai atas pak,solusi yang kami berikan adalah di tambah perangkat lagi di lantai atas soalnya untuk rumah yang 2 lantai kemungkinan sinyal melemah kalau sampai di lantai atas
internetnya bisa di sambungkan ke tv pak?,bisa kalau tvnya sudah android. kalau belum android harus ada tambahan perangkat stb supaya terhubung ke TV
ini internet saya gak bisa tersambung ke tv kenapa yaa?,coba di sambungkan ulang atau coba di ganti menggunakan kabel biar otomatis terhubung
pembayaran wifinya bisa dobel,mohon maaf tidak bisa. pembayaran harus sesuai bulan berjalan. Telat pembayaran pada akhir bulan.
saya mau berhenti berlangganan wifi,baik silahkan hubungi CS melalui menu pengaduan
Jaringan tidak stabil,"coba restart modem"
harus dekat dengan modem supaya dapet sinyal wifi,"kemungkinan ada masalah pada modem. akan kami cek ke lokasi. mohon hubungi CS melalui menu pengaduan"
saya ingin pasang wifi baru,"silakan hubungi CS untuk informasi pemasangan jaringan baru"
nama wifi berubah,"kemungkinan modem ter-reset. silakan cek password default-nya di bagian belakang modem"
internet tidak konek,"Tidak konek kenapa? bisa di jelaskan"
internet saya gak konek,"Tidak konek kenapa? bisa di jelaskan"
di router ada tanda merah,"Itu kabelnya putus akan kami segera cek ke lokasi"
ini pembayaran wifinya gimana,"bisa di transfer dengan no rekening MANDIRI : 1850004160823"
internetnya lambat tidak bisa di pakai,"apakah penggunanya banyak"
